metric,dimension,pearson_r,pearson_p,spearman_r,spearman_p
ROUGE-Lsum,aggregate,-0.732508809,0.01597941265,-0.7090909091,0.02166592337
SummaC,relevance,0.6055220158,0.06357044377,0.696969697,0.02509667588
SummaC,fluency,0.101181114,0.7809183581,0.103030303,0.7769984634
SummaC,coherence,0.46938293,0.1711085452,0.2848484848,0.4250381549
SummaC,likert_consistency,0.4486384784,0.1934234727,0.3939393939,0.2599977668
SummaC,aggregate,0.4767940723,0.1635274154,0.4060606061,0.2442822941
TER,relevance,-0.3488315635,0.323201049,-0.4787878788,0.161522928
TER,fluency,-0.4469576926,0.1953022624,-0.5272727273,0.1173080656
TER,coherence,-0.06838305856,0.8511096085,-0.296969697,0.4047016713
TER,likert_consistency,-0.2453960591,0.4943707963,-0.4545454545,0.1869048103
TER,aggregate,-0.3554434395,0.3134784693,-0.5757575758,0.08155281477
WER,relevance,-0.4658514753,0.1747933318,-0.6848484848,0.02888279751
WER,fluency,-0.09919302865,0.7851376442,-0.07878787879,0.8287173947
WER,coherence,-0.2784983504,0.4358780683,-0.3575757576,0.3103760917
WER,likert_consistency,-0.2227224485,0.5362517868,-0.3212121212,0.3654683104
WER,aggregate,-0.3186590407,0.3695077444,-0.4424242424,0.2004226867
Yules_I,relevance,0.5781450514,0.08000216458,0.6606060606,0.03758837757
Yules_I,fluency,0.05224268582,0.8860305209,0.1515151515,0.676065176
Yules_I,coherence,0.5191775276,0.1240909273,0.5151515152,0.1275528697
Yules_I,likert_consistency,0.2821073647,0.4297018429,0.2606060606,0.4670890544
Yules_I,aggregate,0.4162542809,0.2314884725,0.503030303,0.1383336984
