metric,dimension,pearson_r,pearson_p,spearman_r,spearman_p
ROUGE-L,aggregate,-0.1808745606490417,0.6170291466774912,-0.2727272727272727,0.44583834154275137
ROUGE-Lsum,relevance,-0.12353089618658442,0.7338621304513231,-0.3100318272768329,0.3833197978009887
ROUGE-Lsum,fluency,-0.05507348291259245,0.8798914976366305,-0.05454545454545454,0.8810361811618526
ROUGE-Lsum,coherence,0.1586371566532465,0.6615831336278907,0.09090909090909088,0.8027717312071619
ROUGE-Lsum,likert_consistency,-0.3681870536946157,0.29517950694461215,-0.38181818181818183,0.27625533338543595
ROUGE-Lsum,aggregate,-0.1808745606490417,0.6170291466774912,-0.2727272727272727,0.44583834154275137
SummaC,relevance,-0.15990729440585266,0.6590108360805353,-0.46808726863364974,0.17245503609398916
SummaC,fluency,-0.17277604659393148,0.6331340836764182,-0.10303030303030303,0.7769984634438898
SummaC,coherence,-0.3369702840826741,0.3410287770164999,-0.28484848484848485,0.42503815489214547
SummaC,likert_consistency,0.35047114421100434,0.32077564417648663,-0.2121212121212121,0.5563057751029299
SummaC,aggregate,-0.04768241517140698,0.8959315432938318,-0.3939393939393939,0.25999776683488757
TER,relevance,0.23375414039157696,0.5156987080261889,0.29179466096643103,0.4133266028608583
TER,fluency,0.1981481698149674,0.5831720954348724,0.28484848484848485,0.42503815489214547
TER,coherence,0.2417997135308303,0.5009187633982023,0.22424242424242422,0.5334005612725947
TER,likert_consistency,-0.08758053974427286,0.8098803231691042,0.13939393939393938,0.7009318849100584
TER,aggregate,0.17057707008846615,0.637531435918409,0.2727272727272727,0.44583834154275137
WER,relevance,0.4511069201163172,0.19068347526365625,0.516719712128055,0.12619736664661976
WER,fluency,0.5178445120576388,0.12523064238112114,0.6848484848484848,0.02888279750673276
WER,coherence,0.3190017471425104,0.36896424013386,0.5151515151515151,0.12755286970323426
WER,likert_consistency,-0.007831473875518863,0.9828697015582503,0.2121212121212121,0.5563057751029299
WER,aggregate,0.4245683590799468,0.22134088190266746,0.6242424242424242,0.053717767217167395
Yules_I,relevance,-0.008882259520243645,0.9805715901431844,-0.33434804902403553,0.34503632799221085
Yules_I,fluency,0.05128034427460821,0.8881187673898416,-0.01818181818181818,0.9602404181286243
Yules_I,coherence,-0.019172438569079728,0.9580757035294337,-0.01818181818181818,0.9602404181286243
Yules_I,likert_consistency,0.2618993009608818,0.46480071080004537,-0.13939393939393938,0.7009318849100584
Yules_I,aggregate,0.12697351929966627,0.7266803106477077,-0.17575757575757575,0.6271883447764844
